jaar,field_name,corr_field,spearman,pearson,S>P
2014,ipsl_onveiligheids-gevoelens,Ipersonenoverlast,1.6828088242437644e-5,0.025782322948822767,FALSE
2014,ipsl_onveiligheids-gevoelens,Iverloedering,1.3714002529141567e-6,1.181199227318075e-6,TRUE
2014,ipsl_onveiligheids-gevoelens,overlastindex,4.157033202112359e-7,9.959625134143835e-4,FALSE
2014,ipsl_onveiligheids-gevoelens,HICindex,1.2656542480726785e-14,3.4638958368304884e-14,FALSE
2014,ipsl_onveiligheids-gevoelens,HVCIndex,0.0012021189588946601,0.012674312986785008,FALSE
2014,ipsl_onveiligheids-gevoelens,criminaliteitsindex,2.292235290468625e-9,4.463791380970861e-8,FALSE
2014,ipsl_onveiligheids-gevoelens,Slachtof_MEAN,0,0,FALSE
2014,ipsl_onveiligheids-gevoelens,HoevCrim_MEAN,0,0,FALSE
2014,ipsl_onveiligheids-gevoelens,VerandCrim_MEAN,0.37391090442427544,0.12330292372077789,TRUE
2014,ipsl_onveiligheids-gevoelens,OnveiligheidBuurt_MEAN,0,0,FALSE
2014,ipsl_onveiligheids-gevoelens,OnveiligheidAlgemeen_MEAN,0,0,FALSE
2014,ipsl_onveiligheids-gevoelens,rapportcijfer_veiligheid_buurt_MEAN,0,0,FALSE
2014,ipsl_onveiligheids-gevoelens,NietOpen_MEAN,0,0,FALSE
2014,ipsl_onveiligheids-gevoelens,Omloop_MEAN,0,0,FALSE
2014,ipsl_onveiligheids-gevoelens,StrLoopt_MEAN,0,0,FALSE
2014,ipsl_onveiligheids-gevoelens,Alleen_MEAN,0,0,FALSE
2014,ipsl_onveiligheids-gevoelens,Geen_activieit_avond_MEAN,0,0,FALSE
2014,ipsl_onveiligheids-gevoelens,niet_alleen_buiten_MEAN,0,0,FALSE
2014,ipsl_onveiligheids-gevoelens,HoevOverlastBuurt_MEAN,5.3290705182007514e-015,8.881784197001252e-15,FALSE
2014,ipsl_onveiligheids-gevoelens,VerandOverlastBuurt_MEAN,0.3644626741872803,0.1694122356440948,TRUE
2014,ipsl_onveiligheids-gevoelens,risicoperceptie,7.349676423018536e-14,4.6629367034256575e-15,TRUE
2014,ipsl_onveiligheids-gevoelens,onveiligheidsgevoelens,0,0,FALSE
2014,ipsl_onveiligheids-gevoelens,vermijding,0,0,FALSE
